Generated by Rfunction:  Get.alv.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS92
RS_config:      2.02
RS_serialnum:   G3043154
RS_freq:        405.3
RS__windtype:   ccGPS
=============> Station_info:
Station:        ALVICE_RS92SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       53
SW version:     MW41 2.2.0
Start time:     2020-01-23 06:46:40
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	        xx         NA
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
 117.45  -9999.    275.44 4.48e+00      3.88      0.94        774.7    934.91    238.40 2.15e-01     193.69      3.99  -9999.  -9999.  -9999.   -76.8746    39.0594  -9999.  -9999.  -9999.
 118.45  -9999.    275.52 4.15e+00      3.95      0.96        780.3    934.26    237.70 2.00e-01     193.67      4.07  -9999.  -9999.  -9999.   -76.8747    39.0595  -9999.  -9999.  -9999.
 119.45  -9999.    275.61 3.87e+00      4.03      0.98        786.3    933.57    237.04 1.88e-01     193.65      4.14  -9999.  -9999.  -9999.   -76.8747    39.0595  -9999.  -9999.  -9999.
 120.45  -9999.    275.70 3.52e+00      4.10      1.00        792.6    932.83    236.17 1.72e-01     193.64      4.22  -9999.  -9999.  -9999.   -76.8747    39.0596  -9999.  -9999.  -9999.
 121.45  -9999.    275.79 3.11e+00      4.18      1.01        799.2    932.07    235.01 1.53e-01     193.66      4.30  -9999.  -9999.  -9999.   -76.8747    39.0596  -9999.  -9999.  -9999.
 122.45  -9999.    275.85 2.82e+00      4.25      1.03        805.5    931.34    234.09 1.40e-01     193.69      4.37  -9999.  -9999.  -9999.   -76.8747    39.0596  -9999.  -9999.  -9999.
 123.45  -9999.    275.88 2.80e+00      4.32      1.06        811.4    930.66    234.05 1.39e-01     193.73      4.44  -9999.  -9999.  -9999.   -76.8746    39.0597  -9999.  -9999.  -9999.
 124.45  -9999.    275.88 3.04e+00      4.38      1.08        817.3    929.99    234.86 1.51e-01     193.80      4.51  -9999.  -9999.  -9999.   -76.8746    39.0597  -9999.  -9999.  -9999.
 125.45  -9999.    275.88 3.48e+00      4.44      1.10        823.5    929.27    236.19 1.73e-01     193.89      4.58  -9999.  -9999.  -9999.   -76.8745    39.0598  -9999.  -9999.  -9999.
 126.45  -9999.    275.87 4.05e+00      4.50      1.12        830.1    928.51    237.69 2.01e-01     194.00      4.64  -9999.  -9999.  -9999.   -76.8745    39.0598  -9999.  -9999.  -9999.
 127.45  -9999.    275.89 4.51e+00      4.55      1.15        836.7    927.76    238.81 2.25e-01     194.12      4.70  -9999.  -9999.  -9999.   -76.8745    39.0599  -9999.  -9999.  -9999.
 128.45  -9999.    275.96 4.59e+00      4.60      1.17        843.1    927.02    239.04 2.31e-01     194.24      4.75  -9999.  -9999.  -9999.   -76.8745    39.0599  -9999.  -9999.  -9999.
 129.45  -9999.    276.06 4.42e+00      4.64      1.19        849.3    926.31    238.73 2.24e-01     194.37      4.79  -9999.  -9999.  -9999.   -76.8745    39.0600  -9999.  -9999.  -9999.
 130.45  -9999.    276.15 4.54e+00      4.68      1.21        855.7    925.58    239.07 2.32e-01     194.51      4.83  -9999.  -9999.  -9999.   -76.8745    39.0600  -9999.  -9999.  -9999.
 131.45  -9999.    276.23 5.38e+00      4.71      1.23        862.4    924.82    240.87 2.76e-01     194.64      4.87  -9999.  -9999.  -9999.   -76.8745    39.0601  -9999.  -9999.  -9999.
 132.45  -9999.    276.27 7.10e+00      4.74      1.25        869.2    924.03    243.81 3.65e-01     194.77      4.90  -9999.  -9999.  -9999.   -76.8745    39.0601  -9999.  -9999.  -9999.
 133.45  -9999.    276.27 9.53e+00      4.76      1.27        876.2    923.24    247.00 4.91e-01     194.90      4.93  -9999.  -9999.  -9999.   -76.8745    39.0602  -9999.  -9999.  -9999.
 134.45  -9999.    276.23 1.20e+01      4.78      1.28        882.9    922.47    249.52 6.17e-01     195.03      4.95  -9999.  -9999.  -9999.   -76.8745    39.0602  -9999.  -9999.  -9999.
 135.45  -9999.    276.19 1.37e+01      4.80      1.30        889.6    921.71    251.01 7.04e-01     195.15      4.97  -9999.  -9999.  -9999.   -76.8744    39.0603  -9999.  -9999.  -9999.
 136.45  -9999.    276.15 1.46e+01      4.81      1.31        896.1    920.96    251.71 7.49e-01     195.27      4.99  -9999.  -9999.  -9999.   -76.8744    39.0603  -9999.  -9999.  -9999.
 137.45  -9999.    276.13 1.51e+01      4.83      1.33        902.6    920.22    252.10 7.76e-01     195.37      5.01  -9999.  -9999.  -9999.   -76.8744    39.0603  -9999.  -9999.  -9999.
 138.45  -9999.    276.11 1.56e+01      4.84      1.34        909.0    919.49    252.45 8.00e-01     195.43      5.02  -9999.  -9999.  -9999.   -76.8744    39.0604  -9999.  -9999.  -9999.
 139.45  -9999.    276.08 1.61e+01      4.84      1.34        915.3    918.78    252.78 8.24e-01     195.47      5.03  -9999.  -9999.  -9999.   -76.8744    39.0604  -9999.  -9999.  -9999.
 140.45  -9999.    276.06 1.64e+01      4.85      1.34        921.2    918.11    253.00 8.40e-01     195.48      5.04  -9999.  -9999.  -9999.   -76.8744    39.0604  -9999.  -9999.  -9999.
 141.45  -9999.    276.06 1.66e+01      4.87      1.34        926.8    917.47    253.07 8.46e-01     195.45      5.05  -9999.  -9999.  -9999.   -76.8743    39.0605  -9999.  -9999.  -9999.
 142.45  -9999.    276.07 1.65e+01      4.88      1.34        932.5    916.83    253.04 8.44e-01     195.39      5.06  -9999.  -9999.  -9999.   -76.8743    39.0605  -9999.  -9999.  -9999.
 143.45  -9999.    276.09 1.64e+01      4.90      1.34        938.5    916.15    252.97 8.40e-01     195.30      5.08  -9999.  -9999.  -9999.   -76.8743    39.0606  -9999.  -9999.  -9999.
 144.45  -9999.    276.12 1.62e+01      4.92      1.34        944.7    915.45    252.90 8.36e-01     195.19      5.10  -9999.  -9999.  -9999.   -76.8742    39.0606  -9999.  -9999.  -9999.
 145.45  -9999.    276.15 1.61e+01      4.94      1.33        951.0    914.73    252.79 8.28e-01     195.05      5.12  -9999.  -9999.  -9999.   -76.8742    39.0607  -9999.  -9999.  -9999.
 146.45  -9999.    276.17 1.57e+01      4.97      1.32        957.4    914.01    252.55 8.12e-01     194.89      5.15  -9999.  -9999.  -9999.   -76.8742    39.0607  -9999.  -9999.  -9999.
 147.45  -9999.    276.18 1.52e+01      5.01      1.32        963.9    913.28    252.18 7.87e-01     194.72      5.18  -9999.  -9999.  -9999.   -76.8742    39.0608  -9999.  -9999.  -9999.
 148.45  -9999.    276.20 1.46e+01      5.04      1.31        970.5    912.53    251.77 7.60e-01     194.54      5.21  -9999.  -9999.  -9999.   -76.8742    39.0608  -9999.  -9999.  -9999.
 149.45  -9999.    276.22 1.40e+01      5.09      1.30        977.1    911.78    251.26 7.27e-01     194.33      5.25  -9999.  -9999.  -9999.   -76.8742    39.0608  -9999.  -9999.  -9999.
 150.45  -9999.    276.24 1.29e+01      5.13      1.29        983.7    911.05    250.39 6.74e-01     194.10      5.29  -9999.  -9999.  -9999.   -76.8742    39.0609  -9999.  -9999.  -9999.
 151.45  -9999.    276.26 1.19e+01      5.19      1.28        990.1    910.32    249.45 6.21e-01     193.84      5.34  -9999.  -9999.  -9999.   -76.8742    39.0609  -9999.  -9999.  -9999.
 152.45  -9999.    276.26 1.25e+01      5.25      1.27        996.6    909.59    250.05 6.55e-01     193.56      5.40  -9999.  -9999.  -9999.   -76.8742    39.0610  -9999.  -9999.  -9999.
 153.45  -9999.    276.23 1.61e+01      5.31      1.25       1003.1    908.86    252.88 8.40e-01     193.27      5.45  -9999.  -9999.  -9999.   -76.8742    39.0610  -9999.  -9999.  -9999.
 154.45  -9999.    276.17 2.06e+01      5.37      1.24       1009.5    908.15    255.74 1.07e+00     192.97      5.51  -9999.  -9999.  -9999.   -76.8741    39.0611  -9999.  -9999.  -9999.
 155.45  -9999.    276.13 2.33e+01      5.44      1.22       1015.5    907.46    257.15 1.21e+00     192.66      5.58  -9999.  -9999.  -9999.   -76.8741    39.0611  -9999.  -9999.  -9999.
 156.45  -9999.    276.10 2.40e+01      5.52      1.21       1021.4    906.80    257.50 1.24e+00     192.36      5.65  -9999.  -9999.  -9999.   -76.8741    39.0611  -9999.  -9999.  -9999.
 157.45  -9999.    276.09 2.40e+01      5.59      1.20       1027.6    906.12    257.50 1.25e+00     192.08      5.72  -9999.  -9999.  -9999.   -76.8741    39.0612  -9999.  -9999.  -9999.
 158.45  -9999.    276.09 2.38e+01      5.67      1.19       1034.0    905.40    257.39 1.24e+00     191.81      5.80  -9999.  -9999.  -9999.   -76.8741    39.0612  -9999.  -9999.  -9999.
 159.45  -9999.    276.11 2.34e+01      5.76      1.18       1040.5    904.66    257.17 1.21e+00     191.55      5.87  -9999.  -9999.  -9999.   -76.8741    39.0613  -9999.  -9999.  -9999.
 160.45  -9999.    276.11 2.29e+01      5.84      1.17       1047.1    903.93    256.94 1.19e+00     191.30      5.95  -9999.  -9999.  -9999.   -76.8741    39.0614  -9999.  -9999.  -9999.
 161.45  -9999.    276.10 2.25e+01      5.92      1.16       1053.8    903.18    256.74 1.17e+00     191.06      6.03  -9999.  -9999.  -9999.   -76.8741    39.0614  -9999.  -9999.  -9999.
 162.45  -9999.    276.08 2.22e+01      6.00      1.15       1060.6    902.42    256.57 1.16e+00     190.82      6.11  -9999.  -9999.  -9999.   -76.8741    39.0615  -9999.  -9999.  -9999.
 163.45  -9999.    276.06 2.20e+01      6.09      1.14       1067.3    901.68    256.40 1.14e+00     190.57      6.19  -9999.  -9999.  -9999.   -76.8740    39.0615  -9999.  -9999.  -9999.
 164.45  -9999.    276.05 2.17e+01      6.17      1.12       1073.8    900.95    256.24 1.13e+00     190.34      6.27  -9999.  -9999.  -9999.   -76.8740    39.0616  -9999.  -9999.  -9999.
 165.45  -9999.    276.04 2.15e+01      6.24      1.11       1080.1    900.25    256.13 1.12e+00     190.12      6.34  -9999.  -9999.  -9999.   -76.8740    39.0616  -9999.  -9999.  -9999.
 166.45  -9999.    276.04 2.14e+01      6.32      1.10       1086.4    899.55    256.07 1.11e+00     189.91      6.41  -9999.  -9999.  -9999.   -76.8739    39.0617  -9999.  -9999.  -9999.
 167.45  -9999.    276.05 2.10e+01      6.39      1.09       1092.7    898.85    255.87 1.10e+00     189.72      6.48  -9999.  -9999.  -9999.   -76.8739    39.0617  -9999.  -9999.  -9999.
 168.45  -9999.    276.07 1.98e+01      6.46      1.09       1099.1    898.14    255.16 1.03e+00     189.54      6.55  -9999.  -9999.  -9999.   -76.8739    39.0618  -9999.  -9999.  -9999.
 169.45  -9999.    276.10 1.76e+01      6.53      1.08       1105.6    897.42    253.80 9.21e-01     189.38      6.62  -9999.  -9999.  -9999.   -76.8739    39.0619  -9999.  -9999.  -9999.
 170.45  -9999.    276.14 1.52e+01      6.60      1.07       1112.1    896.69    252.15 8.00e-01     189.24      6.68  -9999.  -9999.  -9999.   -76.8739    39.0619  -9999.  -9999.  -9999.
 171.45  -9999.    276.19 1.37e+01      6.66      1.07       1118.6    895.97    250.96 7.21e-01     189.11      6.74  -9999.  -9999.  -9999.   -76.8739    39.0620  -9999.  -9999.  -9999.
 172.45  -9999.    276.21 1.31e+01      6.71      1.06       1124.9    895.28    250.53 6.95e-01     189.00      6.80  -9999.  -9999.  -9999.   -76.8739    39.0620  -9999.  -9999.  -9999.
 173.45  -9999.    276.21 1.29e+01      6.77      1.06       1131.1    894.59    250.38 6.86e-01     188.89      6.85  -9999.  -9999.  -9999.   -76.8739    39.0621  -9999.  -9999.  -9999.
 174.45  -9999.    276.20 1.25e+01      6.81      1.05       1137.4    893.89    249.98 6.63e-01     188.80      6.90  -9999.  -9999.  -9999.   -76.8739    39.0622  -9999.  -9999.  -9999.
 175.45  -9999.    276.18 1.19e+01      6.86      1.05       1143.9    893.17    249.45 6.33e-01     188.72      6.94  -9999.  -9999.  -9999.   -76.8739    39.0623  -9999.  -9999.  -9999.
 176.45  -9999.    276.16 1.17e+01      6.90      1.05       1150.4    892.46    249.17 6.18e-01     188.66      6.98  -9999.  -9999.  -9999.   -76.8739    39.0624  -9999.  -9999.  -9999.
 177.45  -9999.    276.13 1.17e+01      6.93      1.05       1156.5    891.78    249.19 6.19e-01     188.60      7.01  -9999.  -9999.  -9999.   -76.8738    39.0624  -9999.  -9999.  -9999.
 178.46  -9999.    276.10 1.19e+01      6.96      1.05       1162.4    891.13    249.29 6.25e-01     188.57      7.04  -9999.  -9999.  -9999.   -76.8738    39.0625  -9999.  -9999.  -9999.
 179.45  -9999.    276.07 1.21e+01      6.98      1.05       1168.5    890.46    249.46 6.35e-01     188.56      7.06  -9999.  -9999.  -9999.   -76.8738    39.0625  -9999.  -9999.  -9999.
 180.45  -9999.    276.05 1.26e+01      7.00      1.05       1174.8    889.77    249.93 6.63e-01     188.56      7.08  -9999.  -9999.  -9999.   -76.8738    39.0626  -9999.  -9999.  -9999.
 181.45  -9999.    276.04 1.34e+01      7.02      1.06       1181.2    889.06    250.64 7.06e-01     188.60      7.10  -9999.  -9999.  -9999.   -76.8738    39.0626  -9999.  -9999.  -9999.
 182.46  -9999.    276.03 1.40e+01      7.02      1.07       1187.8    888.34    251.15 7.40e-01     188.64      7.10  -9999.  -9999.  -9999.   -76.8738    39.0627  -9999.  -9999.  -9999.
 183.46  -9999.    276.02 1.42e+01      7.02      1.08       1194.2    887.63    251.26 7.47e-01     188.71      7.10  -9999.  -9999.  -9999.   -76.8738    39.0627  -9999.  -9999.  -9999.
 184.45  -9999.    276.00 1.41e+01      7.02      1.08       1200.5    886.95    251.17 7.42e-01     188.78      7.10  -9999.  -9999.  -9999.   -76.8738    39.0628  -9999.  -9999.  -9999.
 185.45  -9999.    275.98 1.41e+01      7.00      1.09       1206.6    886.27    251.15 7.41e-01     188.86      7.09  -9999.  -9999.  -9999.   -76.8738    39.0629  -9999.  -9999.  -9999.
 186.45  -9999.    275.95 1.44e+01      6.98      1.10       1212.9    885.58    251.34 7.54e-01     188.96      7.07  -9999.  -9999.  -9999.   -76.8738    39.0629  -9999.  -9999.  -9999.
 187.46  -9999.    275.91 1.49e+01      6.96      1.11       1219.5    884.86    251.76 7.83e-01     189.08      7.05  -9999.  -9999.  -9999.   -76.8737    39.0630  -9999.  -9999.  -9999.
 188.46  -9999.    275.87 1.56e+01      6.92      1.12       1226.0    884.14    252.22 8.15e-01     189.23      7.01  -9999.  -9999.  -9999.   -76.8737    39.0631  -9999.  -9999.  -9999.
 189.46  -9999.    275.84 1.59e+01      6.88      1.14       1232.3    883.46    252.42 8.31e-01     189.39      6.98  -9999.  -9999.  -9999.   -76.8737    39.0631  -9999.  -9999.  -9999.
 190.46  -9999.    275.82 1.57e+01      6.83      1.15       1238.2    882.82    252.24 8.19e-01     189.57      6.93  -9999.  -9999.  -9999.   -76.8737    39.0632  -9999.  -9999.  -9999.
 191.46  -9999.    275.81 1.52e+01      6.78      1.17       1244.1    882.17    251.86 7.92e-01     189.78      6.88  -9999.  -9999.  -9999.   -76.8736    39.0633  -9999.  -9999.  -9999.
 192.46  -9999.    275.80 1.48e+01      6.71      1.18       1250.2    881.50    251.54 7.71e-01     190.01      6.81  -9999.  -9999.  -9999.   -76.8736    39.0634  -9999.  -9999.  -9999.
 193.46  -9999.    275.79 1.47e+01      6.64      1.20       1256.8    880.79    251.47 7.67e-01     190.26      6.74  -9999.  -9999.  -9999.   -76.8736    39.0635  -9999.  -9999.  -9999.
 194.46  -9999.    275.77 1.51e+01      6.55      1.22       1263.5    880.06    251.77 7.88e-01     190.53      6.67  -9999.  -9999.  -9999.   -76.8736    39.0635  -9999.  -9999.  -9999.
 195.46  -9999.    275.74 1.61e+01      6.46      1.24       1270.2    879.33    252.48 8.39e-01     190.83      6.58  -9999.  -9999.  -9999.   -76.8736    39.0636  -9999.  -9999.  -9999.
 196.46  -9999.    275.72 1.75e+01      6.36      1.25       1276.5    878.64    253.46 9.14e-01     191.14      6.48  -9999.  -9999.  -9999.   -76.8736    39.0636  -9999.  -9999.  -9999.
 197.46  -9999.    275.69 1.91e+01      6.25      1.27       1282.2    878.02    254.41 9.92e-01     191.48      6.38  -9999.  -9999.  -9999.   -76.8736    39.0637  -9999.  -9999.  -9999.
 198.46  -9999.    275.67 2.04e+01      6.14      1.29       1287.7    877.42    255.16 1.06e+00     191.87      6.27  -9999.  -9999.  -9999.   -76.8736    39.0637  -9999.  -9999.  -9999.
 199.46  -9999.    275.64 2.13e+01      6.02      1.31       1293.6    876.78    255.69 1.11e+00     192.29      6.16  -9999.  -9999.  -9999.   -76.8735    39.0638  -9999.  -9999.  -9999.
 200.46  -9999.    275.59 2.21e+01      5.89      1.33       1300.1    876.07    256.05 1.14e+00     192.76      6.03  -9999.  -9999.  -9999.   -76.8735    39.0638  -9999.  -9999.  -9999.
 201.46  -9999.    275.54 2.26e+01      5.75      1.36       1306.7    875.35    256.28 1.17e+00     193.27      5.91  -9999.  -9999.  -9999.   -76.8735    39.0639  -9999.  -9999.  -9999.
 202.46  -9999.    275.49 2.29e+01      5.61      1.38       1313.1    874.66    256.42 1.18e+00     193.84      5.78  -9999.  -9999.  -9999.   -76.8734    39.0640  -9999.  -9999.  -9999.
 203.46  -9999.    275.44 2.31e+01      5.46      1.41       1319.2    874.01    256.49 1.19e+00     194.46      5.64  -9999.  -9999.  -9999.   -76.8734    39.0640  -9999.  -9999.  -9999.
 204.46  -9999.    275.40 2.32e+01      5.32      1.44       1325.2    873.35    256.51 1.19e+00     195.13      5.51  -9999.  -9999.  -9999.   -76.8734    39.0641  -9999.  -9999.  -9999.
 205.46  -9999.    275.36 2.33e+01      5.16      1.47       1331.7    872.65    256.51 1.19e+00     195.86      5.37  -9999.  -9999.  -9999.   -76.8734    39.0641  -9999.  -9999.  -9999.
 206.46  -9999.    275.32 2.34e+01      5.01      1.50       1338.3    871.93    256.52 1.19e+00     196.64      5.23  -9999.  -9999.  -9999.   -76.8734    39.0642  -9999.  -9999.  -9999.
 207.46  -9999.    275.28 2.35e+01      4.85      1.53       1344.7    871.25    256.56 1.20e+00     197.50      5.09  -9999.  -9999.  -9999.   -76.8735    39.0642  -9999.  -9999.  -9999.
 208.46  -9999.    275.25 2.38e+01      4.70      1.56       1350.6    870.61    256.65 1.21e+00     198.41      4.95  -9999.  -9999.  -9999.   -76.8734    39.0642  -9999.  -9999.  -9999.
 209.46  -9999.    275.23 2.40e+01      4.55      1.60       1356.2    870.00    256.75 1.22e+00     199.39      4.82  -9999.  -9999.  -9999.   -76.8734    39.0643  -9999.  -9999.  -9999.
 210.46  -9999.    275.21 2.42e+01      4.40      1.64       1361.9    869.38    256.83 1.23e+00     200.44      4.69  -9999.  -9999.  -9999.   -76.8734    39.0643  -9999.  -9999.  -9999.
 211.46  -9999.    275.20 2.44e+01      4.25      1.68       1367.9    868.74    256.90 1.24e+00     201.56      4.57  -9999.  -9999.  -9999.   -76.8734    39.0644  -9999.  -9999.  -9999.
 212.46  -9999.    275.21 2.45e+01      4.11      1.72       1374.0    868.09    256.98 1.25e+00     202.75      4.46  -9999.  -9999.  -9999.   -76.8733    39.0644  -9999.  -9999.  -9999.
 213.46  -9999.    275.25 2.45e+01      3.97      1.77       1380.2    867.42    257.00 1.25e+00     204.00      4.35  -9999.  -9999.  -9999.   -76.8733    39.0644  -9999.  -9999.  -9999.
 214.46  -9999.    275.29 2.40e+01      3.84      1.82       1386.4    866.75    256.80 1.23e+00     205.30      4.25  -9999.  -9999.  -9999.   -76.8733    39.0645  -9999.  -9999.  -9999.
 215.46  -9999.    275.31 2.29e+01      3.72      1.87       1392.4    866.10    256.24 1.17e+00     206.63      4.16  -9999.  -9999.  -9999.   -76.8733    39.0645  -9999.  -9999.  -9999.
 216.46  -9999.    275.32 2.12e+01      3.61      1.92       1398.5    865.45    255.37 1.09e+00     207.99      4.09  -9999.  -9999.  -9999.   -76.8732    39.0645  -9999.  -9999.  -9999.
 217.46  -9999.    275.32 1.94e+01      3.50      1.97       1404.8    864.78    254.33 1.00e+00     209.35      4.02  -9999.  -9999.  -9999.   -76.8732    39.0645  -9999.  -9999.  -9999.
 218.46  -9999.    275.32 1.77e+01      3.40      2.02       1411.2    864.09    253.26 9.13e-01     210.69      3.96  -9999.  -9999.  -9999.   -76.8732    39.0646  -9999.  -9999.  -9999.
 219.46  -9999.    275.34 1.62e+01      3.32      2.07       1417.6    863.40    252.25 8.38e-01     212.00      3.91  -9999.  -9999.  -9999.   -76.8732    39.0646  -9999.  -9999.  -9999.
 220.46  -9999.    275.36 1.52e+01      3.24      2.12       1423.9    862.73    251.53 7.87e-01     213.25      3.87  -9999.  -9999.  -9999.   -76.8732    39.0646  -9999.  -9999.  -9999.
 221.46  -9999.    275.37 1.48e+01      3.17      2.18       1429.8    862.09    251.21 7.66e-01     214.45      3.85  -9999.  -9999.  -9999.   -76.8731    39.0646  -9999.  -9999.  -9999.
 222.46  -9999.    275.37 1.47e+01      3.12      2.23       1435.8    861.45    251.10 7.60e-01     215.57      3.83  -9999.  -9999.  -9999.   -76.8731    39.0647  -9999.  -9999.  -9999.
 223.46  -9999.    275.36 1.44e+01      3.07      2.28       1442.1    860.78    250.91 7.47e-01     216.62      3.83  -9999.  -9999.  -9999.   -76.8731    39.0647  -9999.  -9999.  -9999.
 224.46  -9999.    275.36 1.40e+01      3.04      2.34       1448.8    860.07    250.57 7.26e-01     217.57      3.84  -9999.  -9999.  -9999.   -76.8730    39.0647  -9999.  -9999.  -9999.
 225.46  -9999.    275.35 1.36e+01      3.02      2.39       1455.5    859.35    250.25 7.06e-01     218.42      3.85  -9999.  -9999.  -9999.   -76.8730    39.0647  -9999.  -9999.  -9999.
 226.46  -9999.    275.34 1.33e+01      3.00      2.44       1462.0    858.67    249.95 6.88e-01     219.17      3.87  -9999.  -9999.  -9999.   -76.8730    39.0647  -9999.  -9999.  -9999.
 227.46  -9999.    275.34 1.28e+01      2.99      2.49       1468.0    858.02    249.58 6.66e-01     219.80      3.90  -9999.  -9999.  -9999.   -76.8729    39.0648  -9999.  -9999.  -9999.
 228.46  -9999.    275.34 1.25e+01      3.00      2.54       1473.8    857.40    249.29 6.50e-01     220.32      3.93  -9999.  -9999.  -9999.   -76.8729    39.0648  -9999.  -9999.  -9999.
 229.46  -9999.    275.33 1.25e+01      3.00      2.59       1479.7    856.77    249.31 6.51e-01     220.73      3.97  -9999.  -9999.  -9999.   -76.8729    39.0648  -9999.  -9999.  -9999.
 230.46  -9999.    275.31 1.29e+01      3.02      2.63       1486.0    856.11    249.59 6.69e-01     221.03      4.00  -9999.  -9999.  -9999.   -76.8729    39.0648  -9999.  -9999.  -9999.
 231.46  -9999.    275.27 1.33e+01      3.04      2.67       1492.6    855.41    249.89 6.87e-01     221.25      4.05  -9999.  -9999.  -9999.   -76.8729    39.0648  -9999.  -9999.  -9999.
 232.46  -9999.    275.23 1.36e+01      3.07      2.70       1499.1    854.72    250.13 7.03e-01     221.39      4.09  -9999.  -9999.  -9999.   -76.8728    39.0649  -9999.  -9999.  -9999.
 233.46  -9999.    275.19 1.42e+01      3.10      2.74       1505.4    854.05    250.55 7.30e-01     221.46      4.14  -9999.  -9999.  -9999.   -76.8728    39.0649  -9999.  -9999.  -9999.
 234.46  -9999.    275.15 1.53e+01      3.14      2.77       1511.6    853.39    251.39 7.86e-01     221.46      4.19  -9999.  -9999.  -9999.   -76.8728    39.0649  -9999.  -9999.  -9999.
 235.46  -9999.    275.13 1.70e+01      3.18      2.80       1517.8    852.73    252.62 8.76e-01     221.38      4.24  -9999.  -9999.  -9999.   -76.8727    39.0650  -9999.  -9999.  -9999.
 236.46  -9999.    275.11 1.91e+01      3.22      2.83       1524.2    852.06    253.95 9.83e-01     221.25      4.29  -9999.  -9999.  -9999.   -76.8727    39.0650  -9999.  -9999.  -9999.
 237.46  -9999.    275.10 2.11e+01      3.27      2.85       1530.7    851.37    255.08 1.08e+00     221.07      4.33  -9999.  -9999.  -9999.   -76.8726    39.0650  -9999.  -9999.  -9999.
 238.46  -9999.    275.09 2.27e+01      3.31      2.86       1537.1    850.70    255.97 1.17e+00     220.85      4.38  -9999.  -9999.  -9999.   -76.8726    39.0651  -9999.  -9999.  -9999.
 239.46  -9999.    275.09 2.41e+01      3.36      2.88       1543.1    850.06    256.69 1.24e+00     220.59      4.42  -9999.  -9999.  -9999.   -76.8726    39.0651  -9999.  -9999.  -9999.
