Generated by Rfunction:  Get.alv.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS92
RS_config:      2.02
RS_serialnum:   G3043154
RS_freq:        405.3
RS__windtype:   ccGPS
=============> Station_info:
Station:        ALVICE_RS92SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       53
SW version:     MW41 2.2.0
Start time:     2020-01-23 06:46:40
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	        xx         NA
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
 102.45  -9999.    273.18 2.54e+01      3.18      0.59        678.1    946.20    255.65 1.02e+00     190.47      3.23  -9999.  -9999.  -9999.   -76.8748    39.0591  -9999.  -9999.  -9999.
 103.45  -9999.    273.68 1.79e+01      3.20      0.63        684.7    945.43    251.98 7.47e-01     191.10      3.26  -9999.  -9999.  -9999.   -76.8748    39.0591  -9999.  -9999.  -9999.
 104.45  -9999.    274.16 1.14e+01      3.22      0.66        691.0    944.68    247.32 4.94e-01     191.66      3.29  -9999.  -9999.  -9999.   -76.8748    39.0591  -9999.  -9999.  -9999.
 105.45  -9999.    274.48 7.91e+00      3.24      0.70        697.1    943.97    243.60 3.51e-01     192.15      3.32  -9999.  -9999.  -9999.   -76.8748    39.0591  -9999.  -9999.  -9999.
 106.45  -9999.    274.66 6.80e+00      3.27      0.73        703.2    943.25    242.14 3.06e-01     192.58      3.35  -9999.  -9999.  -9999.   -76.8748    39.0591  -9999.  -9999.  -9999.
 107.45  -9999.    274.77 6.72e+00      3.30      0.76        709.8    942.47    242.11 3.05e-01     192.93      3.39  -9999.  -9999.  -9999.   -76.8748    39.0592  -9999.  -9999.  -9999.
 108.45  -9999.    274.83 6.80e+00      3.34      0.78        716.6    941.68    242.27 3.10e-01     193.20      3.43  -9999.  -9999.  -9999.   -76.8748    39.0592  -9999.  -9999.  -9999.
 109.45  -9999.    274.83 6.80e+00      3.38      0.81        723.4    940.88    242.28 3.11e-01     193.40      3.48  -9999.  -9999.  -9999.   -76.8748    39.0593  -9999.  -9999.  -9999.
 110.45  -9999.    274.82 6.78e+00      3.43      0.83        730.1    940.11    242.22 3.09e-01     193.53      3.53  -9999.  -9999.  -9999.   -76.8748    39.0593  -9999.  -9999.  -9999.
 111.45  -9999.    274.83 6.73e+00      3.48      0.84        736.5    939.35    242.16 3.07e-01     193.62      3.59  -9999.  -9999.  -9999.   -76.8747    39.0593  -9999.  -9999.  -9999.
 112.45  -9999.    274.89 6.60e+00      3.54      0.86        742.9    938.61    242.01 3.03e-01     193.68      3.65  -9999.  -9999.  -9999.   -76.8747    39.0593  -9999.  -9999.  -9999.
 113.45  -9999.    275.00 6.34e+00      3.60      0.88        749.4    937.84    241.65 2.94e-01     193.71      3.71  -9999.  -9999.  -9999.   -76.8746    39.0593  -9999.  -9999.  -9999.
 114.45  -9999.    275.12 5.92e+00      3.67      0.90        756.2    937.06    241.03 2.77e-01     193.72      3.78  -9999.  -9999.  -9999.   -76.8746    39.0593  -9999.  -9999.  -9999.
 115.45  -9999.    275.24 5.41e+00      3.74      0.91        762.8    936.29    240.19 2.55e-01     193.72      3.85  -9999.  -9999.  -9999.   -76.8746    39.0594  -9999.  -9999.  -9999.
 116.45  -9999.    275.35 4.90e+00      3.81      0.93        769.0    935.57    239.26 2.33e-01     193.71      3.92  -9999.  -9999.  -9999.   -76.8746    39.0594  -9999.  -9999.  -9999.
