Generated by Rfunction:  Get.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   R3340183
RS_freq:        403
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2020-01-23 06:46:41
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
  99.81  -9999.    272.45    34.31      3.14      0.48        666.3    947.45    258.64     1.31     188.75      3.18 1  -9999.  -9999.   -76.8748    39.0590  -9999.  -9999.  -9999.
 100.81  -9999.    272.52    31.66      3.15      0.53        673.8    946.68    257.72     1.22     189.55      3.20 1  -9999.  -9999.   -76.8748    39.0590  -9999.  -9999.  -9999.
 101.81  -9999.    272.73    26.27      3.17      0.57        679.9    945.91    255.67     1.03     190.28      3.22 1  -9999.  -9999.   -76.8748    39.0590  -9999.  -9999.  -9999.
 102.81  -9999.    273.18    17.61      3.18      0.62        685.4    945.15    251.40     0.71     190.94      3.24 1  -9999.  -9999.   -76.8748    39.0591  -9999.  -9999.  -9999.
 103.81  -9999.    273.92     8.68      3.20      0.65        693.3    944.39    244.16     0.37     191.54      3.27 1  -9999.  -9999.   -76.8748    39.0591  -9999.  -9999.  -9999.
 104.81  -9999.    274.40     4.97      3.22      0.69        699.0    943.63    238.71     0.22     192.06      3.30 1  -9999.  -9999.   -76.8748    39.0591  -9999.  -9999.  -9999.
 105.81  -9999.    274.56     5.31      3.25      0.72        705.5    942.88    239.50     0.24     192.52      3.33 1  -9999.  -9999.   -76.8748    39.0591  -9999.  -9999.  -9999.
 106.81  -9999.    274.66     6.03      3.28      0.75        711.4    942.12    240.88     0.27     192.91      3.36 1  -9999.  -9999.   -76.8748    39.0591  -9999.  -9999.  -9999.
 107.81  -9999.    274.75     6.21      3.31      0.78        717.8    941.36    241.25     0.28     193.22      3.40 1  -9999.  -9999.   -76.8748    39.0592  -9999.  -9999.  -9999.
 108.81  -9999.    274.79     6.23      3.35      0.80        724.5    940.59    241.32     0.28     193.45      3.45 1  -9999.  -9999.   -76.8748    39.0592  -9999.  -9999.  -9999.
 109.81  -9999.    274.75     6.28      3.40      0.82        731.6    939.83    241.38     0.29     193.61      3.50 1  -9999.  -9999.   -76.8748    39.0593  -9999.  -9999.  -9999.
 110.81  -9999.    274.71     6.31      3.45      0.84        738.5    939.06    241.38     0.29     193.71      3.55 1  -9999.  -9999.   -76.8748    39.0593  -9999.  -9999.  -9999.
 111.81  -9999.    274.72     6.24      3.50      0.86        745.1    938.30    241.28     0.28     193.78      3.61 1  -9999.  -9999.   -76.8747    39.0593  -9999.  -9999.  -9999.
 112.81  -9999.    274.83     5.95      3.57      0.88        750.8    937.54    240.88     0.27     193.81      3.67 1  -9999.  -9999.   -76.8747    39.0593  -9999.  -9999.  -9999.
 113.81  -9999.    274.97     5.48      3.63      0.89        757.7    936.79    240.13     0.25     193.83      3.74 1  -9999.  -9999.   -76.8746    39.0593  -9999.  -9999.  -9999.
 114.81  -9999.    275.09     4.95      3.70      0.91        764.0    936.05    239.17     0.23     193.82      3.81 1  -9999.  -9999.   -76.8746    39.0593  -9999.  -9999.  -9999.
 115.81  -9999.    275.21     4.40      3.77      0.93        770.7    935.32    238.06     0.21     193.80      3.88 1  -9999.  -9999.   -76.8746    39.0594  -9999.  -9999.  -9999.
 116.81  -9999.    275.31     3.95      3.84      0.94        776.7    934.59    237.05     0.19     193.78      3.95 1  -9999.  -9999.   -76.8746    39.0594  -9999.  -9999.  -9999.
 117.81  -9999.    275.42     3.66      3.91      0.96        782.9    933.88    236.36     0.18     193.75      4.03 1  -9999.  -9999.   -76.8747    39.0594  -9999.  -9999.  -9999.
 118.81  -9999.    275.48     3.46      3.99      0.97        788.5    933.16    235.84     0.17     193.72      4.10 1  -9999.  -9999.   -76.8747    39.0595  -9999.  -9999.  -9999.
 119.81  -9999.    275.55     3.20      4.06      0.99        794.6    932.45    235.11     0.15     193.70      4.18 1  -9999.  -9999.   -76.8747    39.0595  -9999.  -9999.  -9999.
 120.81  -9999.    275.67     2.76      4.14      1.01        801.3    931.75    233.75     0.13     193.69      4.26 1  -9999.  -9999.   -76.8747    39.0596  -9999.  -9999.  -9999.
 121.81  -9999.    275.77     2.35      4.21      1.03        806.8    931.04    232.30     0.12     193.70      4.33 1  -9999.  -9999.   -76.8747    39.0596  -9999.  -9999.  -9999.
 122.81  -9999.    275.80     2.36      4.28      1.05        813.7    930.33    232.33     0.12     193.73      4.41 1  -9999.  -9999.   -76.8747    39.0597  -9999.  -9999.  -9999.
 123.81  -9999.    275.81     2.75      4.35      1.07        819.6    929.62    233.82     0.14     193.78      4.48 1  -9999.  -9999.   -76.8746    39.0597  -9999.  -9999.  -9999.
 124.81  -9999.    275.80     3.34      4.41      1.09        824.6    928.91    235.73     0.17     193.85      4.55 1  -9999.  -9999.   -76.8746    39.0598  -9999.  -9999.  -9999.
 125.81  -9999.    275.78     4.01      4.47      1.11        831.1    928.18    237.54     0.20     193.94      4.61 1  -9999.  -9999.   -76.8745    39.0598  -9999.  -9999.  -9999.
 126.81  -9999.    275.77     4.83      4.53      1.13        838.2    927.45    239.41     0.24     194.04      4.67 1  -9999.  -9999.   -76.8745    39.0598  -9999.  -9999.  -9999.
