Generated by Rfunction:  Get.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   R3340183
RS_freq:        403
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2020-01-23 06:46:41
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
 432.81  -9999.    272.14    32.47      3.40      0.95       2785.7    728.10    257.70     1.58     195.54      3.53 1  -9999.  -9999.   -76.8690    39.0740  -9999.  -9999.  -9999.
 433.81  -9999.    272.09    32.79      3.40      0.93       2793.1    727.51    257.77     1.59     195.25      3.53 1  -9999.  -9999.   -76.8690    39.0741  -9999.  -9999.  -9999.
 434.81  -9999.    272.04    33.13      3.41      0.91       2800.5    726.92    257.85     1.60     194.99      3.53 1  -9999.  -9999.   -76.8690    39.0741  -9999.  -9999.  -9999.
 435.81  -9999.    272.00    33.21      3.41      0.90       2806.1    726.34    257.85     1.60     194.75      3.53 1  -9999.  -9999.   -76.8690    39.0742  -9999.  -9999.  -9999.
 436.81  -9999.    271.96    33.10      3.42      0.89       2812.6    725.75    257.76     1.59     194.52      3.53 1  -9999.  -9999.   -76.8690    39.0742  -9999.  -9999.  -9999.
 437.81  -9999.    271.91    33.00      3.43      0.87       2818.3    725.17    257.69     1.58     194.30      3.54 1  -9999.  -9999.   -76.8690    39.0742  -9999.  -9999.  -9999.
 438.81  -9999.    271.87    32.98      3.44      0.86       2825.1    724.59    257.64     1.58     194.10      3.55 1  -9999.  -9999.   -76.8690    39.0742  -9999.  -9999.  -9999.
 439.81  -9999.    271.83    33.03      3.45      0.86       2831.5    724.00    257.62     1.58     193.92      3.56 1  -9999.  -9999.   -76.8690    39.0742  -9999.  -9999.  -9999.
 440.81  -9999.    271.79    33.15      3.47      0.85       2837.5    723.41    257.63     1.58     193.77      3.57 1  -9999.  -9999.   -76.8690    39.0743  -9999.  -9999.  -9999.
 441.81  -9999.    271.76    33.54      3.48      0.85       2844.6    722.82    257.75     1.60     193.65      3.58 1  -9999.  -9999.   -76.8690    39.0743  -9999.  -9999.  -9999.
 442.81  -9999.    271.73    34.36      3.49      0.84       2851.3    722.22    258.02     1.63     193.57      3.60 1  -9999.  -9999.   -76.8690    39.0743  -9999.  -9999.  -9999.
 443.81  -9999.    271.70    35.04      3.51      0.84       2857.4    721.62    258.22     1.66     193.50      3.61 1  -9999.  -9999.   -76.8690    39.0744  -9999.  -9999.  -9999.
 444.81  -9999.    271.67    35.10      3.52      0.84       2864.0    721.02    258.22     1.66     193.45      3.62 1  -9999.  -9999.   -76.8690    39.0744  -9999.  -9999.  -9999.
 445.81  -9999.    271.65    34.72      3.54      0.84       2871.7    720.42    258.07     1.64     193.40      3.64 1  -9999.  -9999.   -76.8689    39.0744  -9999.  -9999.  -9999.
 446.81  -9999.    271.62    34.27      3.55      0.84       2878.2    719.83    257.89     1.62     193.34      3.65 1  -9999.  -9999.   -76.8689    39.0745  -9999.  -9999.  -9999.
 447.81  -9999.    271.59    33.87      3.57      0.84       2884.7    719.23    257.72     1.60     193.28      3.67 1  -9999.  -9999.   -76.8689    39.0745  -9999.  -9999.  -9999.
 448.81  -9999.    271.55    33.64      3.58      0.84       2890.3    718.64    257.60     1.59     193.19      3.68 1  -9999.  -9999.   -76.8689    39.0745  -9999.  -9999.  -9999.
 449.81  -9999.    271.51    33.58      3.60      0.84       2897.8    718.04    257.54     1.58     193.10      3.69 1  -9999.  -9999.   -76.8689    39.0746  -9999.  -9999.  -9999.
 450.81  -9999.    271.46    33.67      3.61      0.83       2903.2    717.44    257.53     1.58     192.98      3.70 1  -9999.  -9999.   -76.8689    39.0746  -9999.  -9999.  -9999.
 451.81  -9999.    271.41    33.83      3.61      0.82       2910.1    716.84    257.54     1.58     192.85      3.71 1  -9999.  -9999.   -76.8689    39.0746  -9999.  -9999.  -9999.
 452.81  -9999.    271.36    33.96      3.62      0.82       2917.3    716.23    257.54     1.58     192.71      3.71 1  -9999.  -9999.   -76.8689    39.0746  -9999.  -9999.  -9999.
 453.81  -9999.    271.31    34.14      3.62      0.81       2924.2    715.62    257.56     1.59     192.54      3.71 1  -9999.  -9999.   -76.8688    39.0747  -9999.  -9999.  -9999.
 454.81  -9999.    271.26    34.39      3.62      0.79       2931.2    715.01    257.61     1.59     192.36      3.71 1  -9999.  -9999.   -76.8688    39.0747  -9999.  -9999.  -9999.
 455.81  -9999.    271.22    34.71      3.62      0.78       2938.0    714.40    257.68     1.61     192.16      3.71 1  -9999.  -9999.   -76.8688    39.0748  -9999.  -9999.  -9999.
 456.81  -9999.    271.19    35.00      3.62      0.76       2945.0    713.79    257.75     1.62     191.92      3.70 1  -9999.  -9999.   -76.8687    39.0748  -9999.  -9999.  -9999.
 457.81  -9999.    271.18    34.79      3.62      0.75       2951.5    713.18    257.67     1.61     191.64      3.70 1  -9999.  -9999.   -76.8688    39.0749  -9999.  -9999.  -9999.
 458.81  -9999.    271.18    33.99      3.62      0.72       2958.2    712.58    257.40     1.57     191.31      3.69 1  -9999.  -9999.   -76.8688    39.0749  -9999.  -9999.  -9999.
 459.81  -9999.    271.20    32.95      3.62      0.70       2965.3    711.99    257.04     1.53     190.94      3.68 1  -9999.  -9999.   -76.8688    39.0749  -9999.  -9999.  -9999.
 460.81  -9999.    271.22    31.60      3.61      0.67       2971.9    711.40    256.55     1.47     190.50      3.67 1  -9999.  -9999.   -76.8689    39.0749  -9999.  -9999.  -9999.
 461.81  -9999.    271.21    30.56      3.61      0.64       2977.8    710.82    256.15     1.42     190.01      3.66 1  -9999.  -9999.   -76.8689    39.0750  -9999.  -9999.  -9999.
 462.81  -9999.    271.19    30.30      3.60      0.60       2984.4    710.25    256.03     1.41     189.47      3.65 1  -9999.  -9999.   -76.8688    39.0750  -9999.  -9999.  -9999.
 463.81  -9999.    271.16    30.42      3.60      0.56       2990.3    709.67    256.04     1.41     188.89      3.64 1  -9999.  -9999.   -76.8688    39.0750  -9999.  -9999.  -9999.
 464.81  -9999.    271.12    30.40      3.60      0.52       2997.1    709.10    256.00     1.41     188.27      3.64 1  -9999.  -9999.   -76.8687    39.0751  -9999.  -9999.  -9999.
 465.81  -9999.    271.07    30.25      3.60      0.48       3002.9    708.52    255.90     1.40     187.61      3.63 1  -9999.  -9999.   -76.8687    39.0751  -9999.  -9999.  -9999.
 466.81  -9999.    271.02    30.11      3.60      0.44       3009.1    707.93    255.80     1.39     186.90      3.63 1  -9999.  -9999.   -76.8687    39.0751  -9999.  -9999.  -9999.
 467.81  -9999.    270.98    29.92      3.61      0.39       3015.8    707.33    255.69     1.37     186.14      3.63 1  -9999.  -9999.   -76.8687    39.0752  -9999.  -9999.  -9999.
 468.81  -9999.    270.92    29.71      3.62      0.34       3023.7    706.72    255.55     1.36     185.33      3.64 1  -9999.  -9999.   -76.8687    39.0752  -9999.  -9999.  -9999.
 469.81  -9999.    270.87    29.49      3.64      0.28       3031.4    706.12    255.42     1.35     184.47      3.65 1  -9999.  -9999.   -76.8687    39.0752  -9999.  -9999.  -9999.
 470.81  -9999.    270.82    29.28      3.66      0.23       3037.5    705.51    255.29     1.33     183.57      3.66 1  -9999.  -9999.   -76.8688    39.0752  -9999.  -9999.  -9999.
 471.81  -9999.    270.76    29.08      3.68      0.17       3044.4    704.90    255.16     1.32     182.63      3.69 1  -9999.  -9999.   -76.8688    39.0753  -9999.  -9999.  -9999.
 472.81  -9999.    270.71    28.81      3.71      0.11       3051.2    704.30    255.01     1.30     181.69      3.71 1  -9999.  -9999.   -76.8688    39.0753  -9999.  -9999.  -9999.
 473.81  -9999.    270.67    28.51      3.74      0.05       3057.1    703.71    254.85     1.29     180.74      3.74 1  -9999.  -9999.   -76.8687    39.0753  -9999.  -9999.  -9999.
 474.81  -9999.    270.63    28.29      3.78     -0.01       3064.4    703.11    254.71     1.27     179.81      3.78 1  -9999.  -9999.   -76.8687    39.0753  -9999.  -9999.  -9999.
 475.81  -9999.    270.57    28.12      3.83     -0.07       3071.3    702.52    254.59     1.26     178.92      3.83 1  -9999.  -9999.   -76.8687    39.0754  -9999.  -9999.  -9999.
 476.81  -9999.    270.51    27.67      3.87     -0.13       3077.2    701.92    254.36     1.24     178.06      3.88 1  -9999.  -9999.   -76.8687    39.0754  -9999.  -9999.  -9999.
 477.81  -9999.    270.47    26.77      3.93     -0.19       3084.6    701.33    253.93     1.19     177.23      3.93 1  -9999.  -9999.   -76.8686    39.0755  -9999.  -9999.  -9999.
 478.81  -9999.    270.43    25.62      3.98     -0.25       3091.5    700.73    253.38     1.14     176.44      3.99 1  -9999.  -9999.   -76.8687    39.0755  -9999.  -9999.  -9999.
 479.81  -9999.    270.39    24.45      4.04     -0.31       3097.1    700.13    252.81     1.08     175.68      4.06 1  -9999.  -9999.   -76.8687    39.0755  -9999.  -9999.  -9999.
 480.81  -9999.    270.34    23.42      4.11     -0.36       3104.6    699.53    252.27     1.04     174.98      4.12 1  -9999.  -9999.   -76.8687    39.0756  -9999.  -9999.  -9999.
 481.81  -9999.    270.30    22.71      4.17     -0.41       3111.8    698.93    251.88     1.00     174.34      4.20 1  -9999.  -9999.   -76.8688    39.0756  -9999.  -9999.  -9999.
 482.81  -9999.    270.26    22.37      4.24     -0.46       3117.8    698.32    251.67     0.99     173.76      4.27 1  -9999.  -9999.   -76.8688    39.0756  -9999.  -9999.  -9999.
 483.81  -9999.    270.21    22.36      4.31     -0.51       3124.9    697.70    251.62     0.98     173.27      4.34 1  -9999.  -9999.   -76.8688    39.0756  -9999.  -9999.  -9999.
 484.81  -9999.    270.17    22.43      4.38     -0.55       3132.9    697.09    251.63     0.98     172.85      4.41 1  -9999.  -9999.   -76.8688    39.0756  -9999.  -9999.  -9999.
 485.81  -9999.    270.13    22.37      4.44     -0.58       3140.3    696.48    251.56     0.98     172.52      4.48 1  -9999.  -9999.   -76.8688    39.0757  -9999.  -9999.  -9999.
 486.81  -9999.    270.09    22.36      4.51     -0.61       3145.6    695.86    251.52     0.98     172.27      4.55 1  -9999.  -9999.   -76.8688    39.0757  -9999.  -9999.  -9999.
 487.81  -9999.    270.06    22.37      4.57     -0.63       3153.0    695.25    251.50     0.98     172.11      4.61 1  -9999.  -9999.   -76.8687    39.0758  -9999.  -9999.  -9999.
 488.81  -9999.    270.03    22.26      4.63     -0.65       3161.0    694.65    251.42     0.97     172.05      4.68 1  -9999.  -9999.   -76.8687    39.0759  -9999.  -9999.  -9999.
 489.81  -9999.    270.00    22.15      4.69     -0.65       3167.7    694.04    251.33     0.96     172.06      4.74 1  -9999.  -9999.   -76.8687    39.0759  -9999.  -9999.  -9999.
 490.81  -9999.    269.96    22.15      4.75     -0.65       3173.9    693.44    251.30     0.96     172.16      4.79 1  -9999.  -9999.   -76.8688    39.0760  -9999.  -9999.  -9999.
 491.81  -9999.    269.92    21.92      4.80     -0.65       3180.3    692.84    251.15     0.95     172.32      4.84 1  -9999.  -9999.   -76.8688    39.0760  -9999.  -9999.  -9999.
 492.81  -9999.    269.89    21.40      4.85     -0.63       3187.1    692.24    250.85     0.93     172.54      4.89 1  -9999.  -9999.   -76.8689    39.0761  -9999.  -9999.  -9999.
 493.81  -9999.    269.85    20.85      4.89     -0.62       3194.6    691.64    250.52     0.90     172.83      4.93 1  -9999.  -9999.   -76.8689    39.0761  -9999.  -9999.  -9999.
 494.81  -9999.    269.82    20.55      4.93     -0.59       3201.3    691.04    250.33     0.89     173.17      4.97 1  -9999.  -9999.   -76.8689    39.0762  -9999.  -9999.  -9999.
 495.81  -9999.    269.77    20.50      4.96     -0.56       3208.2    690.43    250.26     0.88     173.58      5.00 1  -9999.  -9999.   -76.8689    39.0762  -9999.  -9999.  -9999.
 496.81  -9999.    269.72    20.66      4.99     -0.52       3215.7    689.83    250.30     0.88     174.06      5.02 1  -9999.  -9999.   -76.8689    39.0762  -9999.  -9999.  -9999.
 497.81  -9999.    269.67    20.93      5.02     -0.47       3221.8    689.22    250.41     0.89     174.62      5.04 1  -9999.  -9999.   -76.8689    39.0763  -9999.  -9999.  -9999.
 498.81  -9999.    269.62    21.21      5.04     -0.42       3229.2    688.62    250.52     0.90     175.24      5.06 1  -9999.  -9999.   -76.8689    39.0763  -9999.  -9999.  -9999.
 499.81  -9999.    269.58    21.47      5.06     -0.36       3236.9    688.03    250.62     0.91     175.91      5.07 1  -9999.  -9999.   -76.8689    39.0764  -9999.  -9999.  -9999.
 500.81  -9999.    269.55    21.84      5.07     -0.30       3242.9    687.44    250.79     0.93     176.63      5.08 1  -9999.  -9999.   -76.8689    39.0764  -9999.  -9999.  -9999.
 501.81  -9999.    269.53    22.40      5.08     -0.23       3248.9    686.85    251.06     0.95     177.37      5.09 1  -9999.  -9999.   -76.8689    39.0765  -9999.  -9999.  -9999.
 502.81  -9999.    269.50    22.95      5.09     -0.17       3256.3    686.27    251.31     0.97     178.12      5.09 1  -9999.  -9999.   -76.8690    39.0765  -9999.  -9999.  -9999.
 503.81  -9999.    269.45    23.20      5.09     -0.10       3263.1    685.68    251.40     0.98     178.88      5.10 1  -9999.  -9999.   -76.8690    39.0766  -9999.  -9999.  -9999.
 504.81  -9999.    269.40    23.17      5.09     -0.03       3269.0    685.11    251.34     0.98     179.65      5.09 1  -9999.  -9999.   -76.8690    39.0766  -9999.  -9999.  -9999.
 505.81  -9999.    269.35    23.20      5.09      0.04       3276.6    684.53    251.31     0.97     180.42      5.09 1  -9999.  -9999.   -76.8690    39.0766  -9999.  -9999.  -9999.
 506.81  -9999.    269.30    23.43      5.08      0.11       3282.7    683.95    251.38     0.98     181.20      5.08 1  -9999.  -9999.   -76.8689    39.0767  -9999.  -9999.  -9999.
 507.81  -9999.    269.25    23.61      5.07      0.17       3289.3    683.36    251.42     0.99     181.97      5.07 1  -9999.  -9999.   -76.8689    39.0767  -9999.  -9999.  -9999.
 508.81  -9999.    269.20    23.57      5.06      0.24       3296.0    682.78    251.36     0.98     182.73      5.06 1  -9999.  -9999.   -76.8689    39.0768  -9999.  -9999.  -9999.
 509.81  -9999.    269.15    23.60      5.05      0.31       3302.7    682.18    251.33     0.98     183.47      5.05 1  -9999.  -9999.   -76.8688    39.0768  -9999.  -9999.  -9999.
 510.81  -9999.    269.11    23.78      5.03      0.37       3309.7    681.58    251.38     0.98     184.19      5.04 1  -9999.  -9999.   -76.8689    39.0769  -9999.  -9999.  -9999.
 511.81  -9999.    269.06    24.10      5.02      0.43       3316.6    680.98    251.50     1.00     184.88      5.03 1  -9999.  -9999.   -76.8689    39.0769  -9999.  -9999.  -9999.
 512.81  -9999.    268.99    24.49      5.00      0.48       3324.3    680.37    251.62     1.01     185.52      5.02 1  -9999.  -9999.   -76.8689    39.0770  -9999.  -9999.  -9999.
 513.81  -9999.    268.93    24.96      4.97      0.53       3330.9    679.76    251.78     1.02     186.12      5.00 1  -9999.  -9999.   -76.8689    39.0770  -9999.  -9999.  -9999.
 514.81  -9999.    268.87    25.32      4.95      0.58       3338.8    679.16    251.90     1.03     186.66      4.98 1  -9999.  -9999.   -76.8689    39.0771  -9999.  -9999.  -9999.
 515.81  -9999.    268.81    25.43      4.92      0.62       3346.5    678.56    251.90     1.03     187.15      4.96 1  -9999.  -9999.   -76.8689    39.0771  -9999.  -9999.  -9999.
 516.81  -9999.    268.76    25.27      4.89      0.65       3352.3    677.97    251.78     1.03     187.59      4.93 1  -9999.  -9999.   -76.8688    39.0771  -9999.  -9999.  -9999.
 517.81  -9999.    268.72    24.95      4.86      0.68       3358.8    677.38    251.59     1.01     187.98      4.90 1  -9999.  -9999.   -76.8688    39.0772  -9999.  -9999.  -9999.
 518.81  -9999.    268.67    24.80      4.82      0.70       3364.9    676.80    251.49     1.00     188.31      4.87 1  -9999.  -9999.   -76.8688    39.0772  -9999.  -9999.  -9999.
 519.81  -9999.    268.62    24.97      4.79      0.72       3372.2    676.22    251.53     1.01     188.61      4.84 1  -9999.  -9999.   -76.8687    39.0773  -9999.  -9999.  -9999.
 520.81  -9999.    268.58    25.22      4.75      0.74       3379.6    675.64    251.60     1.01     188.87      4.81 1  -9999.  -9999.   -76.8687    39.0773  -9999.  -9999.  -9999.
 521.81  -9999.    268.53    25.34      4.71      0.75       3385.8    675.06    251.61     1.01     189.09      4.77 1  -9999.  -9999.   -76.8688    39.0774  -9999.  -9999.  -9999.
 522.81  -9999.    268.48    25.46      4.67      0.76       3391.9    674.47    251.62     1.02     189.27      4.73 1  -9999.  -9999.   -76.8688    39.0775  -9999.  -9999.  -9999.
 523.81  -9999.    268.43    25.64      4.63      0.77       3399.1    673.89    251.66     1.02     189.41      4.69 1  -9999.  -9999.   -76.8688    39.0775  -9999.  -9999.  -9999.
 524.81  -9999.    268.38    25.67      4.59      0.77       3405.9    673.30    251.63     1.02     189.48      4.65 1  -9999.  -9999.   -76.8688    39.0776  -9999.  -9999.  -9999.
 525.81  -9999.    268.33    25.60      4.55      0.76       3414.4    672.71    251.55     1.01     189.49      4.61 1  -9999.  -9999.   -76.8688    39.0776  -9999.  -9999.  -9999.
 526.81  -9999.    268.29    25.52      4.51      0.75       3421.0    672.13    251.49     1.01     189.43      4.57 1  -9999.  -9999.   -76.8688    39.0776  -9999.  -9999.  -9999.
 527.81  -9999.    268.26    25.51      4.46      0.73       3426.5    671.55    251.45     1.01     189.33      4.52 1  -9999.  -9999.   -76.8687    39.0776  -9999.  -9999.  -9999.
